vehicle_class,month,premium,quota,bid_pressure,month_str
Category B,2016-03-01,47053.0,2429,2.1400083390961235,2016-03
Category B,2016-04-01,48301.0,2429,1.898466641988667,2016-04
Category B,2016-05-01,50083.0,2999,1.5881309371125552,2016-05
Category B,2016-06-01,56505.0,2933,2.1646063209972985,2016-06
Category B,2016-07-01,56798.5,2932,1.7004774452375757,2016-07
Category B,2016-08-01,57201.5,2672,1.5883233532934131,2016-08
Category B,2016-09-01,56251.5,2710,1.5492908566373378,2016-09
Category B,2016-10-01,54705.5,2690,1.3208126036484247,2016-10
Category B,2016-11-01,54603.5,2601,1.4278655740383557,2016-11
Category B,2016-12-01,48669.0,2489,1.4247588424437299,2016-12
Category B,2017-01-01,52956.5,2498,1.5221533187349678,2017-01
Category B,2017-02-01,49415.0,2743,1.4246034783958592,2017-02
Category B,2017-03-01,53650.0,2728,1.604839320872887,2017-03
Category B,2017-04-01,54405.5,2729,1.4547248958020023,2017-04
Category B,2017-05-01,54207.5,2645,1.4070040022870212,2017-05
Category B,2017-06-01,48805.5,2646,1.2218865067915958,2017-06
Category B,2017-07-01,49901.5,2644,1.397125567322239,2017-07
Category B,2017-08-01,52355.5,2579,1.4198633868936574,2017-08
Category B,2017-09-01,49094.5,2578,1.3821266069622995,2017-09
Category B,2017-10-01,49052.5,2570,1.3089494163424122,2017-10
Category B,2017-11-01,57402.0,2759,1.6994918045536331,2017-11
Category B,2017-12-01,50356.5,2749,1.2509779012835782,2017-12
Category B,2018-01-01,43975.0,2755,1.2578661645306917,2018-01
Category B,2018-02-01,40661.0,2787,1.282689423823639,2018-02
Category B,2018-03-01,38005.5,2792,1.207183981773212,2018-03
Category B,2018-04-01,37467.5,2806,1.2851261525048354,2018-04
Category B,2018-05-01,38245.0,2563,1.5880946146726422,2018-05
Category B,2018-06-01,34950.0,2609,1.3247416530911127,2018-06
Category B,2018-07-01,31775.5,2573,1.3821739734635186,2018-07
Category B,2018-08-01,33405.0,2537,1.6410368036393468,2018-08
Category B,2018-09-01,31654.0,2552,1.496146598762293,2018-09
Category B,2018-10-01,31301.5,2544,1.4709221295897423,2018-10
Category B,2018-11-01,31701.5,2506,1.5662212992836964,2018-11
Category B,2018-12-01,31001.0,2482,1.4439849436099623,2018-12
Category B,2019-01-01,33094.5,2489,1.5818085848216015,2019-01
Category B,2019-02-01,34956.0,2416,1.6265806303058876,2019-02
Category B,2019-03-01,38181.0,2434,1.5535435123339363,2019-03
Category B,2019-04-01,45551.0,2407,1.4192728578234064,2019-04
Category B,2019-05-01,45287.0,2302,1.2019160431719305,2019-05
Category B,2019-06-01,37817.0,2280,1.2122539337133993,2019-06
Category B,2019-07-01,36703.0,2284,1.3427106120937338,2019-07
Category B,2019-08-01,39301.5,2092,1.3871576571018585,2019-08
Category B,2019-09-01,36500.5,2090,1.2952755617092664,2019-09
Category B,2019-10-01,41583.0,2092,1.4636252961305607,2019-10
Category B,2019-11-01,39854.5,2036,1.2902594075399272,2019-11
Category B,2019-12-01,36950.0,2028,1.2406391783659714,2019-12
Category B,2020-01-01,37407.0,2034,1.1729123318611108,2020-01
Category B,2020-02-01,31889.5,1971,1.3351449946870289,2020-02
Category B,2020-03-01,31406.5,1979,1.3708788851848221,2020-03
Category B,2020-07-01,35445.0,2630,2.156269722771945,2020-07
Category B,2020-08-01,37952.0,1855,2.000450457781353,2020-08
Category B,2020-09-01,41249.5,1816,1.7692856311131813,2020-09
Category B,2020-10-01,40840.0,1598,1.5585393936071057,2020-10
Category B,2020-11-01,40050.5,2020,1.4725019630601583,2020-11
Category B,2020-12-01,47156.0,2044,1.635279106399889,2020-12
Category B,2021-01-01,49550.5,2041,1.3394778637506313,2021-01
Category B,2021-02-01,46396.0,1885,1.2069140588941198,2021-02
Category B,2021-03-01,46001.0,1888,1.2408879941467705,2021-03
Category B,2021-04-01,56749.5,1914,1.624381993518575,2021-04
Category B,2021-05-01,59045.0,1636,1.425925427761413,2021-05
Category B,2021-06-01,58070.5,1624,1.2866812773476304,2021-06
Category B,2021-07-01,57800.5,1659,1.3228479853479853,2021-07
Category B,2021-08-01,58501.0,1565,1.306193173836197,2021-08
Category B,2021-09-01,65455.0,1563,1.4527578719139542,2021-09
Category B,2021-10-01,75205.0,1548,1.5310077519379846,2021-10
Category B,2021-11-01,81201.0,1181,1.3855261874853015,2021-11
Category B,2021-12-01,80695.0,1188,1.3897246588348662,2021-12
Category B,2022-01-01,79850.5,1179,1.3725208918458494,2022-01
Category B,2022-02-01,89846.0,1109,1.6262563018376972,2022-02
Category B,2022-03-01,96889.0,1106,1.522741616389529,2022-03
Category B,2022-04-01,94195.5,1110,1.2570292207792209,2022-04
Category B,2022-05-01,93989.5,1055,1.3345893709389913,2022-05
Category B,2022-06-01,103342.5,1059,1.5798825115562405,2022-06
Category B,2022-07-01,108901.5,1054,1.325426944971537,2022-07
Category B,2022-08-01,109501.0,945,1.3515144185546508,2022-08
Category B,2022-09-01,110525.5,941,1.254070108867507,2022-09
Category B,2022-10-01,102928.0,944,1.57195888320316,2022-10
Category B,2022-11-01,114634.5,827,1.461281115478196,2022-11
Category B,2022-12-01,106753.5,836,1.354591938984099,2022-12
Category B,2023-01-01,103730.5,818,1.2238043998087038,2023-01
Category B,2023-02-01,110262.5,866,1.5551525496052911,2023-02
Category B,2023-03-01,115851.0,897,1.4485824960417433,2023-03
Category B,2023-04-01,119695.0,860,1.3011627906976744,2023-04
Category B,2023-05-01,116216.5,890,1.3683180894308942,2023-05
Category B,2023-06-01,120851.0,908,1.4768722466960353,2023-06
Category B,2023-07-01,118001.5,933,1.2820883999227948,2023-07
Category B,2023-08-01,128389.5,948,1.6720911599750734,2023-08
Category B,2023-09-01,137889.0,966,1.5100763555250514,2023-09
Category B,2023-10-01,148001.5,946,1.3382276693127368,2023-10
Category B,2023-11-01,122668.5,1284,1.600046587467971,2023-11
Category B,2023-12-01,120050.5,1281,1.3898226378115903,2023-12
Category B,2024-01-01,98505.0,1290,1.6668397931138954,2024-01
Category B,2024-02-01,99669.0,1304,1.68439642903351,2024-02
Category B,2024-03-01,96010.5,1364,1.5702683615819208,2024-03
Category B,2024-04-01,101667.5,1343,1.655396497769492,2024-04
Category B,2024-05-01,105345.5,1324,1.7637850616574022,2024-05
Category B,2024-06-01,101470.5,1359,1.4869132968008838,2024-06
Category B,2024-07-01,100450.5,1332,1.341639028613558,2024-07
Category B,2024-08-01,105995.0,1349,1.5852000140715627,2024-08
Category B,2024-09-01,108150.5,1328,1.3576327697070731,2024-09
Category B,2024-10-01,114946.0,1341,1.535361567720266,2024-10
Category B,2024-11-01,106541.0,1374,1.3909508188383684,2024-11
Category B,2024-12-01,106005.0,1365,1.3584766104722563,2024-12
Category B,2025-01-01,119063.0,1363,1.7156196304223315,2025-01
Category B,2025-02-01,110351.0,1492,1.4358971594502905,2025-02
Category B,2025-03-01,114945.0,1512,1.5900779588944012,2025-03
Category B,2025-04-01,117451.0,1504,1.527376910016978,2025-04
Category B,2025-05-01,118439.0,1595,1.4430065464337507,2025-05
Category B,2025-06-01,114835.0,1579,1.3542878000256706,2025-06
Category B,2025-07-01,119350.5,1565,1.499748490945674,2025-07
Category B,2025-08-01,123949.0,1581,1.5762832699619773,2025-08
Category B,2025-09-01,132195.5,1582,1.5542945275540212,2025-09
Category B,2025-10-01,136444.5,1639,1.3279282767659017,2025-10
Category B,2025-11-01,122445.5,1606,1.5348309553349875,2025-11
Category B,2025-12-01,119501.0,1640,1.2608574030318,2025-12
Category B,2026-01-01,120367.0,1627,1.4360226819330424,2026-01
Category B,2026-02-01,107945.5,1626,1.42619926199262,2026-02
Category B,2026-03-01,114785.0,1627,1.5032994348575055,2026-03
Category B,2026-04-01,121000.5,1622,1.6029593094944512,2026-04
Category B,2026-05-01,127868.5,1752,1.5994712814745213,2026-05
Category B,2026-06-01,125245.5,1772,1.411792806759857,2026-06
